大分類No.,大分類,中分類No.,中分類,要求事項No.,★3,★4,要求事項名,要求事項,★3/★4,評価基準No.,評価基準,"参照文献
(太字は、主として参照した文献及び具体的な参照箇所を示す。)
[凡例]
- CE … Cyber Essentials question booklet v15.1
- CMMC …32 CFR Part 170 (Cybersecurity Maturity Model Certification (CMMC) Program)
- ISO/IEC 27001:2022
- 政府統一基準(令和7年度版)  … 政府機関等の対策基準策定のためのガイドライン(令和7年度版)
- 自動車GL … 自工会/部工会・サイバーセキュリティガイドライン 2.3 版",NIST CSFにおける機能,,
1,ガバナンスの整備,1-1,組織の状況,1-1-1,,○,社内ルール,セキュリティに関する法令、契約等に規定された事項を考慮し、社内ルールを策定及び周知すること。,★4,1-1-1-1,"・セキュリティに関連する以下の事項を把握した上で、社内ルールを定めること。
- 自社に関連する法令(事業法、個人情報保護法等)
- 所管省庁及び関係団体における基準
- 取引先が提示する制限事項も含めた、関係者からの要求事項","ISO/IEC 27001:2022 4.2, A.5.31
政府統一基準(令和7年度版) 1.1(4)
自動車GL No.9 (LV1), No.10 (LV2) ",統治(GV),,
1,ガバナンスの整備,1-1,組織の状況,1-1-1,,○,社内ルール,セキュリティに関する法令、契約等に規定された事項を考慮し、社内ルールを策定及び周知すること。,★4,1-1-1-2,・No.1-1-1-1で定める事項の改定及び変更の状況について、年１回以上の頻度で確認を行い、社内ルールの内容を点検すること。,"ISO/IEC 27001:2022 4.2, A.5.31
政府統一基準(令和7年度版) 1.1(4)
自動車GL No.11 (LV1)",統治(GV),,
1,ガバナンスの整備,1-1,組織の状況,1-1-1,,○,社内ルール,セキュリティに関する法令、契約等に規定された事項を考慮し、社内ルールを策定及び周知すること。,★4,1-1-1-3,・策定・見直した社内ルールを役員、従業員、派遣社員及び受入出向者へと周知すること。,"ISO/IEC 27001:2022 4.2, A.5.31
政府統一基準(令和7年度版) 1.1(4)
自動車GL No.9 (LV1)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-1,○,○,セキュリティ推進活動部門,セキュリティ推進活動を担当する部署、役員及び従業員を決定し、責任及び権限を割り当てること。,★3,1-2-1-1,・セキュリティを統括する役員(例えば、CISOを設置する会社の場合は、当該CISO)及びセキュリティ担当部署の役割・責任を定めること。,"CE A2.10.
ISO/IEC 27001:2022 5.3, A.5.2, A.5.4
政府統一基準(令和7年度版) 2.1.1(1)(4)(5)(6)
自動車GL No.13 (LV1)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-1,○,,セキュリティ推進活動部門,セキュリティ推進活動を担当する部署、役員及び従業員を決定し、責任及び権限を割り当てること。,★3,1-2-1-2,・平時のセキュリティ推進活動に必要な役員(例えば、CISOを設置する会社の場合は、当該CISO)及びセキュリティ担当部署の連絡先リストを定めること。,"CE A2.10.
ISO/IEC 27001:2022 5.3, A.5.2, A.5.4
政府統一基準(令和7年度版) 2.1.1(6)
自動車GL No.13 (LV1)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-1,○,,セキュリティ推進活動部門,セキュリティ推進活動を担当する部署、役員及び従業員を決定し、責任及び権限を割り当てること。,★3,1-2-1-3,・年1回以上の頻度でNo.1-2-1-1及びNo.1-2-1-2にて定めた平時の体制について点検すること。,"CE A2.10.
ISO/IEC 27001:2022 5.3, A.5.2, A.5.4
政府統一基準(令和7年度版) 2.1.1(1)(4)(5)(6)
自動車GL No.15 (LV1)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-1,,,セキュリティ推進活動部門,セキュリティ推進活動を担当する部署、役員及び従業員を決定し、責任及び権限を割り当てること。,★4,1-2-1-4,・セキュリティリスクは、経営に重大な影響を及ぼすことを理解し、その対応について情報セキュリティ委員会等の経営判断ができる体制を設置すること。,"ISO/IEC 27001:2022 4.4, A.5.4
政府統一基準(令和7年度版) 2.1.1(2)
自動車GL No.14 (LV2)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-2,,○,サイバー攻撃の監視・分析体制,サイバー攻撃及び予兆を監視・分析をする体制を整備すること。,★4,1-2-2-1,・サイバー攻撃及び脆弱性に関する公開情報・非公開情報を活用する体制を整備すること。,"ISO/IEC 27001:2022 A.8.15, A.8.16
政府統一基準(令和7年度版) 7.1.4
自動車GL No.17 (LV2)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-2,,,サイバー攻撃の監視・分析体制,サイバー攻撃及び予兆を監視・分析をする体制を整備すること。,★4,1-2-2-2,・入手した情報及びログの相関分析により、サイバー攻撃の予兆及びインシデントの発生の検知を可能とし、インシデントの防止及びインシデントが発生した場合の対応が導き出せる体制を整備すること。,"ISO/IEC 27001:2022 A.8.15, A.8.16
政府統一基準(令和7年度版) 7.1.4
自動車GL No.17 (LV2)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-3,○,○,守秘義務のルール,守秘義務のルールを策定し、遵守させること。,★3,1-2-3-1,・役員、従業員、派遣社員及び受入出向者を対象に、自社の守秘義務のルールを定めること。,"ISO/IEC 27001:2022 A.6.5, A.6.6
自動車GL No.4 (LV1)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-3,○,○,守秘義務のルール,守秘義務のルールを策定し、遵守させること。,★3,1-2-3-2,・入社時又は社外要員の受入れ時に守秘義務のルールを説明すること。,"ISO/IEC 27001:2022 A.6.5, A.6.6
自動車GL No.4 (LV1)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-3,,○,守秘義務のルール,守秘義務のルールを策定し、遵守させること。,★4,1-2-3-3,"・自社の機密情報を取り扱う役員及び従業員に、守秘義務の誓約書を提出させること。(社外要員を除く。)
","ISO/IEC 27001:2022 A.6.5, A.6.6
自動車GL No.5 (LV2)",統治(GV),,
1,ガバナンスの整備,1-2,役割、責任、権限,1-2-3,,○,守秘義務のルール,守秘義務のルールを策定し、遵守させること。,★4,1-2-3-4,・派遣社員及び受入出向者について、派遣元及び出向元の会社と業務開始前に守秘義務を締結すること。,"ISO/IEC 27001:2022 A.6.5, A.6.6
自動車GL No.6 (LV2)",統治(GV),,
1,ガバナンスの整備,1-3,ポリシー,1-3-1,○,○,セキュリティ対応方針の策定,自社のセキュリティ対応方針を策定し、周知すること。　,★3,1-3-1-1,・自社のセキュリティ対応方針を定めること。,"ISO/IEC 27001:2022 5.2, 7.3, A.5.1
政府統一基準(令和7年度版) 2.1.3(2)
自動車GL No.1 (LV1)",統治(GV),,
1,ガバナンスの整備,1-3,ポリシー,1-3-1,○,,セキュリティポリシーの策定,自社のセキュリティ対応方針を策定し、周知すること。　,★3,1-3-1-2,・定常的に役員、従業員、派遣社員及び受入出向者がセキュリティ対応方針を参照できるようにすること。,"ISO/IEC 27001:2022 5.2, 7.3, A.5.1
政府統一基準(令和7年度版) 2.1.3(2)
自動車GL No.3 (LV1)",統治(GV),,
1,ガバナンスの整備,1-3,ポリシー,1-3-1,○,○,セキュリティポリシーの策定,自社のセキュリティ対応方針を策定し、周知すること。　,★3,1-3-1-3,・セキュリティ対応方針の改正時に、当該改正内容を役員、従業員、派遣社員及び受入出向者に周知すること。,"ISO/IEC 27001:2022 5.2, 7.3, A.5.1
政府統一基準(令和7年度版) 2.1.3(2)
自動車GL No.3 (LV1)",統治(GV),,
1,ガバナンスの整備,1-3,ポリシー,1-3-1,,○,セキュリティポリシーの策定,自社のセキュリティ対応方針を策定し、周知すること。　,★4,1-3-1-4,・年１回以上の頻度でセキュリティ対応方針及び社内で運用するその他のセキュリティ関連ルールの内容を点検すること。,"ISO/IEC 27001:2022 5.2, 7.3, A.5.1
政府統一基準(令和7年度版) 2.1.3(2)
自動車GL No.2 (LV1)",統治(GV),,
1,ガバナンスの整備,1-4,監督,1-4-1,,○,セキュリティ対策推進計画,各年度のセキュリティ対策推進計画を策定し、定期的に経営層へ対策実施状況に関する報告を行うと共に、報告結果を対策の推進に反映すること。,★4,1-4-1-1,"・セキュリティ担当部署は、年１回以上、セキュリティを統括する役員(例えば、CISOを設置する会社の場合は、当該CISO)及び関係部門に対して、以下にて求める対策の点検の結果を踏まえたセキュリティ対策の実態及び当該実態を踏まえて策定した今後の対策推進計画を報告し、当該報告結果を社内部署と共有すること。
[点検を求める対策(評価基準)]
No.1-1-1-2、1-2-1-3、1-3-1-3、2-1-1-2、3-1-1-4、3-1-1-7、3-1-2-4、3-1-4-2、3-1-4-4、3-1-4-6、3-1-5-2、3-2-1-5、4-1-7-2、4-1-9-3、4-2-1-6、4-2-2-3、5-1-2-3、6-1-1-5","ISO/IEC 27001:2022 6.2, 9.3, A.5.35
政府統一基準(令和7年度版) 2.4.1
自動車GL No.68 (LV1)",統治(GV),,
1,ガバナンスの整備,1-4,監督,1-4-1,,,セキュリティ対策推進計画,各年度のセキュリティ対策推進計画を策定し、定期的に経営層へ対策実施状況に関する報告を行うと共に、報告結果を対策の推進に反映すること。,★4,1-4-1-2,・No.1-4-1-1における対策推進計画の報告に際し、役員からの改善に向けた指示があった場合、セキュリティ担当部署は、当該指示内容の記録、関係部門への共有、計画への反映及び不備の是正を実施すること。,"ISO/IEC 27001:2022 6.2, 9.3, A.5.35
政府統一基準(令和7年度版) 2.4.1
自動車GL No.69 (LV1)",統治(GV),,
2,取引先管理,2-1,サイバーセキュリティサプライチェーンリスクマネジメント,2-1-1,○,○,取引先とのビジネス又はシステム上の関係,取引先と自社とのビジネス又はシステム上の関係を把握すること。,★3,2-1-1-1,・自社以外の組織(顧客・子会社・関係会社・クラウドサービス提供者を含む取引先)が管理・提供し、自社の資産が接続しているシステムを把握するための仕組みを整備すること。,"CE A2.9., A4.5.
自動車GL No.77 (LV1)",統治(GV),,
2,取引先管理,2-1,サイバーセキュリティサプライチェーンリスクマネジメント,2-1-1,○,○,取引先とのビジネス又はシステム上の関係,取引先と自社とのビジネス又はシステム上の関係を把握すること。,★3,2-1-1-2,・年1回以上の頻度でNo.2-1-1-1において把握すべき情報の内容を点検すること。,"CE A2.9., A4.5.
自動車GL No.78 (LV1)",統治(GV),,
2,取引先管理,2-1,サイバーセキュリティサプライチェーンリスクマネジメント,2-1-1,,○,取引先とのビジネス又はシステム上の関係,取引先と自社とのビジネス又はシステム上の関係を把握すること。,★4,2-1-1-3,"・自社の機密情報を共有している取引先について、以下の事項を把握するための仕組みを整備すること。
- 会社ごとに取り交わす情報・手段(受発注の手段、情報のやり取り等)
- 取引に伴い授受・使用される情報資産及びその取扱い
",自動車GL No.70 (LV1),統治(GV),,
2,取引先管理,2-1,サイバーセキュリティサプライチェーンリスクマネジメント,2-1-2,○,○,機密情報の取扱い,他社との間で、機密情報の取扱い方法を明確にすること。,★3,2-1-2-1,"・自社の機密情報を共有する取引先との間で、業務開始前に機密情報の取扱いについて、以下の事項の取り交わすこと。
- 機密情報の定義
- 機密情報の取扱い
　(表示、保管方法、複製可否及び第三者への提供可否)
- 機密情報の返還又は廃棄","ISO/IEC 27001:2022 A.5.20
政府統一基準(令和7年度版) 4.1.1(2)
自動車GL No.44 (LV1)",統治(GV),,
